JobId	CalculationDuration
000567e2-d2ce-4dfc-bdb9-4d424280fca7	15
000ce238-4447-432e-963b-886d5a34264e	12680
001798d5-2d3d-465a-87fa-ba11c17051c9	13
0017a976-44f3-4f28-9532-3072e00fe96c	3015
003032fc-023a-4081-8c21-e940151fcd61	3028
003bbbf0-a41f-40a8-b0ee-48f6e4b78529	2436
003ece24-8e94-4a4f-bd02-a449aab8a116	979
004a72d6-2dca-448f-9468-2bbda47a9d15	992
005350bf-b1a3-4e73-a4c9-98dd32c03602	3016
0061d50c-42bb-4140-bf67-9bdafc8e5388	195
0063eab5-1fd3-476c-9c9f-68ffd9053631	11020
00676e40-fe67-4a5a-abe4-5bbee6986e1e	3017
00694e0c-466f-4b3c-ad8f-3bc333b7d301	2686
00695068-0cd3-4232-9f07-a8887b62b73e	3016
007ad1f8-69fd-45cf-b879-663a0f1fc20c	311
007e4ce2-99bf-4d1d-942f-9a9520939d5c	2676
0087b45e-df17-485d-b88c-928379116b82	3015
009b3b7e-3f53-4f56-b468-6c9afb718dce	3402
009f6a69-a03e-4264-ae99-eaca085bd44e	3017
00a21886-285f-4faf-a2f0-cb5c655d1929	34
00a5a830-0d42-40e6-b4fe-ee0b501da29d	3016
00a7a232-289d-4e35-9ae3-09a7a531ec2e	509
00b81782-cd90-4d90-9a97-7cf1c33f98c7	26
00b9675a-2c58-4e54-b4f1-98cf9bc25a5c	180888
00be154c-aef4-4c84-b666-70dc2404d2bd	267
00d7d566-0d4a-44b7-b141-cf82c1ac6954	3015
00e1f03b-fd89-4235-81d3-62f3ffd2e5be	2129
00e2f6f3-4475-49c6-b3fc-125f5a4fe481	2524
00e7b256-47d7-4163-a1de-ae7edda7a32e	14121
00f59670-0afd-49fd-a2fc-c6551641e3d4	4060
010893e4-1dec-4cdc-92ba-8e612db08677	3016
010aed04-4e5d-4f7c-a209-2760da88dd1f	3018
010e7e6b-6f30-47bd-9642-d0557d616af5	1869
0115a5ec-27de-4d65-a203-cfc621b3aef2	4048
0119bfb5-fd2d-4ed4-bbb3-cb471fc423da	241
0120291e-5e15-4bd2-955d-2d7a12c2332d	15
0123b791-cae6-4190-9317-f657214884a9	290
012d724f-67e0-4841-bb3c-f756eb354caf	3016
012dec0e-cf48-42c0-bcd1-156c080e2de4	3015
012e105e-837b-40f9-ae0c-c16c45dd23fc	480282
01313b66-793b-491e-abdb-4d1b865e2d47	1145
013429c0-ba56-4500-ae17-41fa5d4bcfa3	4096
0134a8b8-261e-443a-bbc6-e162a85ee1ad	27
0139fd49-b5a6-4767-a8be-b2512e651aac	3972
013a1a95-e0a4-4350-8a51-c0930ff5d175	735
013fdf28-a497-4846-9efa-3d41289d9ca4	3016
0146446a-0c5c-44ab-8152-08f89c70bcef	19
015ba6a5-be38-484d-a381-3b945e61e5ad	3016
015bda22-645a-4730-9c9e-4bc141e88267	3016
016a20ab-c209-4cca-9f68-8f2fff899f38	506279
016e645a-7f51-4f60-a5d8-ba6bcf4a45e8	33453
016eedfe-db37-43d6-ab3d-a81c989810d0	2340
0171a553-7273-47a3-b7ad-c37566661e5d	975
017d000e-3df4-4343-b6e0-56f961911e5b	1295
01880701-5090-4f17-931b-13eafc183e89	13
01ae7d51-641f-4aa1-ad0b-18aca602db1d	429
01afc311-c419-42d8-bf48-c377d2f9f130	3016
01afc7a6-17c4-4438-aed7-f8d45228cdbb	1689
01ba085a-4c3d-4bd8-bc48-b220302ab55c	3016
01c5bb5f-841c-4565-8ba9-85f6a5f912fa	3014
01dba167-8128-42c5-b5b4-073e4358107a	5455
01dc9429-240f-489e-86f2-308334c86a25	3014
01e03dcc-a7d3-4133-aec9-968fefe35a97	13
01e470e8-c8bf-405d-8fc2-f5c1816bfaa7	3016
01e93267-f2d5-453f-bf25-c6487ad58a06	3016
01e97448-9144-495f-97d8-dc15ac12a5b3	4015
01fe7991-cb67-4d5b-bb30-b2a669a0420e	25
01fef430-76c2-45e4-bb0e-f5ef8bf1813a	15
02138baf-2b5f-45af-b82a-8e611dc832ff	15
02179092-2978-4b0b-8302-2312a986396a	15
022e561e-1968-4429-800b-c1e5fe4eea28	15
0232ce69-a183-49b3-838a-932a829a6a62	3016
0233187f-c46a-4ca8-8867-9e546b1d60c1	3015
023675db-053f-473f-b00d-a97a460afb54	3016
023d9ff7-65ac-4235-8ac9-d92c87ada3b0	3016
023f758b-bff7-4fa6-83f3-39f6bf8fa995	3015
02418166-e4a6-42da-871c-3284d76679d1	660
0242939b-fddd-4a39-9dcb-91709f32ca86	3015
0256cd7f-36e7-483b-acdd-6069a5a137b5	1548
025937a8-71e7-4c9d-985a-03e2330452f0	45
02702fc4-9386-4230-80d8-9569077b29ec	13
02733f60-7fca-4c56-b79a-e827a49371ee	15
02756342-1e54-4514-95ab-06e01871d819	80
027a0e6a-6509-484d-a87e-371a27d758b2	1038
027a49f8-bbb6-472c-a450-ab2b374a1922	15
027c8130-e25c-4aaa-b653-fa03f0d52c38	13
027d3d76-266f-4544-8b7e-e8fae9b30001	13275
028c3a51-71a8-4e87-b9c7-8963f99bf94a	1015
02907c3a-53b0-4e58-bc81-fe7c1ab1dea1	3015
02998d32-0509-4793-8203-10d01aa86360	954408
02a23c56-fc57-44dd-8b20-70da1d8bc745	945
02a5b272-c84b-4734-aa50-2980e5670322	3016
02b211c7-ffd9-4531-bf88-46f5cfd53df4	3014
02b247a6-9d93-4c3a-a33b-5740253568ee	1065
02bc45f8-3e81-4e33-842d-f142b38d2e37	16
02c0f500-40a7-49df-ab6d-85ddc36e856c	26
02c1e16e-c8f4-4ea3-b91a-f6cfa1390a06	90585
02c5342e-182a-4fe4-995c-fa79bc5e7f5a	13161
02ca89c8-5cc4-4d00-a73f-d1df892dbc9b	15
02d36ce7-749e-4f7d-bf17-2c01212a943f	3020
02d788ae-d982-4431-a8f2-c12b70e32d86	2604
02e297b2-4e14-4609-b819-ff13ba29b35c	15
02e4704c-fe57-4818-beef-116586bf0faa	3439
02efa286-cd31-4abd-9e77-b9df4812a4bf	3016
03009e92-3543-4752-828b-79dec34fc860	15
03142d3b-a7e0-45bf-948f-6f2ca75f95b8	4083
031f1384-92bb-496f-b84e-0daf94a9d462	13
0339c755-b6e6-4b0d-a238-8def114e8a2c	3015
03475d45-6570-41c6-9811-2b498e448eaa	3241
03569974-cb3e-48f8-b1b0-3ef35231107f	15
0357c65e-7692-4448-a659-4ae59f3f4241	3015
0360417f-c014-4665-bd04-125ad95da09c	954
036f7b3b-04de-47a6-863f-44f5c8024e37	21
0371b64f-fb53-46f7-a940-f1f14ee93a73	6130
038574b9-ef97-4785-975f-1fff91e5ea33	3016
03865a77-5f7a-4b47-8599-6da6872acc93	20
03867aaa-7a01-43b0-b85a-f00c629b230d	604
038b4294-e14a-43d1-8e7e-8cd7d6059b00	30
038efdb9-dbbe-4ec0-8fcb-4582a7034187	2901
038fab28-f2be-4f1f-adaf-b294d80f093a	1088
0390dffd-525f-4e24-b183-7cc032418447	25
039571cc-3216-4a43-a70d-a258ee3e5555	13
0397ec87-3832-497d-94cf-ee0bf2c6ca2b	3256
0397fa40-c2c5-4f71-a941-53b67b223e05	3016
03a44096-53f2-4844-b7fe-7ec577871889	21
03a56971-acbd-4e78-ab11-477aef175c8e	13
03accc27-6a1c-4eab-ad92-fe4140b1d89e	1049
03b68599-afca-4cad-b3d1-1f7f5a48ab7d	1006
03bcd21c-baee-4b8f-9e8e-b8a723836495	4075
03d26c02-618f-4648-a18e-85b291607cf2	949
03e5a67d-c865-40fb-8c0f-fa99c59433f4	849
03e64daf-1a6f-4591-a79c-7adcff9bf580	3022
03e885f3-1d76-4ac9-9f55-156cd777b28f	2615
03ee1c59-9930-4012-8f03-03d16174c312	875
03f0dfa8-091e-4248-b3e1-ddde318d94bc	1065
03ffc9da-aaf9-4162-a5fe-49b0f0b842b6	3020
0401324a-c94f-428d-8f09-47d404361863	193156
04051977-f11c-4db6-9b6c-48d26f7fc572	934
0406a9bc-f88b-4bcb-a71b-2f51a1797a96	894
0411285b-f219-472a-9dcb-217ca89f460f	3016
041f8fd1-f5e0-4a03-9113-8f0cfc8bf82b	3015
041ff00f-8d72-4c1b-a908-dfbc639ef467	27
04310e7c-65bc-4cbd-b59c-8256e8a2cb0d	32
04343789-f60d-42c6-a23c-70887c6fc088	3016
043e5e2f-9d5a-4800-9e0d-a4a294fade07	3259
043f7ab5-2509-4e5a-addb-52ef362fac26	348
04413542-e493-4e08-b681-cd4377d620fa	13
0446e91a-908e-4197-8397-0e2d36901513	15
0450af6a-7d70-4e84-a819-a4e73d9be466	260
04663fea-aeec-4bdf-849c-05ecd9307ec8	2506
046a104d-6421-4756-bf1d-401ab533c6ab	30
046f9ec5-eacc-4199-9ce8-5bd487f4c686	1914
04816142-8f52-42b3-97ce-9a6eaa701f01	3016
04854da0-3210-40ab-a4fc-8a70a21d903a	13
04a7aee0-8c94-4c6e-b4ff-4670129f99f9	26
04abfc0f-a43e-4f69-8190-19e4e8063e7f	13
04ac5963-b98a-4d31-bc6a-d292b9363a70	4054
04c13203-c50c-4ec0-acca-65235d0b63b5	24
04c3ea5c-5112-450f-ba6c-7c5a1dfb61b7	13
04c67487-2df6-437b-9170-11d38bee3bfb	25
04ca6365-01f0-4450-a1ec-1da0f0f8f633	16
04d30650-5787-4695-8952-d03eacc2a37b	487016
04d33c51-cc6a-49a8-a082-d07b12255962	2644
04d848c7-56b4-42f8-97fa-4765df228039	23
04dc7c92-8432-4307-9575-a60e3fa6aad8	15
04e35bd0-ad91-4755-9e66-8aede6fbc9de	262
04e5aef0-d2f4-4dee-bfdb-8bc3fb712cba	4102
04ecb4be-68e7-4b1c-b018-f8be9ec70346	12965
04f86824-8749-4f5c-b9cc-11bf171ffb20	13
04f99d4f-7933-4833-803b-ef19d5913844	2249
04fdc7ca-c426-4481-8734-94b289cceda3	4045
04ffc0d8-8e56-47de-b0db-818345d8c52f	15
0508cff0-4194-48f0-a778-6b50a5b1cd0f	3015
0509f5c0-a2c0-4c0a-a199-31bc9b256ae3	15
050db4ee-5b1b-44a8-8e1f-421ef70e9fff	3016
05105000-7193-4130-8a93-0d48453ad8e1	1070
0512c14e-8f72-4007-a46b-dad225c951dc	34
0514938d-ba98-466a-8712-a46c85b10bf8	956
05161f54-e3b0-45bc-a69a-04f4f5993ca2	3978
0521a6e3-f359-45d4-94ca-390827a04013	3016
0522adbe-95d7-4923-86c2-0efc201c3f61	3015
052b8caa-212b-4638-8c59-bfbd784fa89e	13966
05387263-c2cd-4127-9154-f0797422847e	4016
053aadc3-2843-43e1-bfab-3c3756c1dc97	15
053fce0e-28e3-4128-bf6b-1f83180b7fa8	1098
05414165-9dfe-439e-a926-46c8d62139e4	15
0542543f-24c4-4c98-acef-ceab6721d472	25
0546bca8-b069-4e35-9cc1-183e0624a32a	478039
0548e4b7-96fc-4b31-a06e-d13a0ed548ce	301
054dc895-97d7-4d14-b26d-d546febd5bf1	3016
054e3f95-adf7-45da-a833-2030c8af6ac1	32
054fdbc6-954a-430e-98fb-9ba51f857148	3015
055366e3-0fe9-47e2-bcd8-ffc9b4ac7ecc	3016
056429c0-dd7b-4ad2-ab0c-5913335c52cc	4017
0565a22c-dc8c-4415-8f73-75a814f4e6ae	921
0571c806-f5fd-410f-8063-4f6ac778b531	13
05737c6d-13f8-44f7-9d79-5c86d508b0a4	3016
05773cad-a68a-4e6c-bd93-8170c0228888	22
05987b0c-eaf4-42b1-8030-3d0d55fa8b7c	13
059aa443-cdbb-43b6-b071-b71f4c89766b	13
059b787a-05da-4186-b14f-7f75619dcf91	932
05a6ad9d-c136-44d5-9e3b-a64796db6e7d	34
05adf794-4326-4f0e-82cf-1ab14cced9ed	3391
05b2ead8-42c6-43c0-a82a-929a5a1fa190	3016
05ba8bc9-46ea-49d1-977d-d7cb2951b6be	3016
05bbfa25-c482-4c5c-8b70-757aadc071e1	4027
05c10b74-f0d9-43f2-af90-3ac9cbac6ea0	3024
05c35c62-1f4f-4686-93a1-4c108b4cc675	3015
05c414d7-dcfd-4c60-ae71-f91b65eddaf6	1035
05de0a0c-a6c3-4a6a-a9a5-e2517c032eed	13
05de329d-477a-4283-a575-4d017dfb9f71	9919
05de4f07-51dd-43c7-ad57-a941d801ba93	20
05e6b622-4f9e-4ce9-a7d4-9a0df86d5104	25
05f5804e-2ff2-416e-94a5-97d72384ce67	3016
05f7fb02-2e01-4fed-8e4e-37fbd6f449c0	16
05fd14b6-6ab3-4762-9685-92974f0c63a2	1071
06035f4e-0729-4ee0-a774-6e54386791f7	14002
06043695-1704-44e6-8d25-b51d7cfa97ed	22
0605cf72-a715-476f-9fb5-d163baf85177	3023
0605d9e1-af3e-4598-9f83-bf306b1be0a2	3015
060e4c88-c0a8-4ae3-9bf8-37955fe1c22b	225
0617efd8-d51e-4791-8b80-437543b4e915	3016
0619b007-5d18-47cb-a231-491b2895eac7	23
061bc471-3b29-46b1-b9f0-a56e98595cea	2915
062512aa-a1f6-40d5-b0d0-a7a99809d46a	3015
0627df4b-7e6c-48f7-b5f5-47f5efba3815	3014
062e2463-f882-4a57-9244-bc603ed05344	3014
062ff010-e34d-420f-9040-da8dca6e3283	3368
062ffd53-87a7-48e4-a27c-670c3ce27b8b	2225
0634b0c1-29d5-4677-9cad-3546cd9d2c31	1119
0639d00d-bc08-470e-a5df-be4806b08584	3282
063cf404-07e4-4e4d-9398-c46c0ac542b0	3016
063e0da2-06f5-431e-8384-608c34b73d24	769
06421a1d-9908-4c3d-9e60-a8f648bb4dc4	2349
064313a9-a7f1-44de-95df-7aee3c602166	15
064e6e60-e56e-4c44-acf1-59c75031e29d	2654
065de2b6-106b-47e5-a1a3-41030cdd8587	3016
0662be66-821a-4d74-b29c-c404fb5a4c75	20
066439e0-0c65-4b07-9c45-b389817450d1	3016
06649895-f332-4507-8617-c6932d29d677	39
066a4996-da13-475f-b5c5-c983bf5dece8	30
06783512-fd23-41bb-bbe1-b2f26b10bd67	3016
06800a9b-3706-46da-bf65-6d01a61c4909	998
068f3277-9757-4653-805b-3bca1e775c80	30
06a581bb-e36e-4f7c-82a8-62ccd186ec4e	3015
06ad9426-d530-4005-a7b7-c54e57658467	1496
06b8c3be-abf5-497f-9af1-daa0b9962c43	4049
06b908f7-7632-449f-90a7-d65ff9eeb9fd	2694
06b96df4-7fd0-419a-babc-03231908af32	24
06b97fde-450a-4f7c-b98e-f168accbe88e	15
06bba83b-f40c-47b9-b94d-55606727ab79	21
06bc1041-e479-4247-978e-ce61ac7183b7	3016
06bde1b8-c553-4ebe-a006-9021b55594ae	155
06c3cc4f-1e1c-459c-8cd7-ce8ea6c12a4c	3015
06c7ae1c-166c-42ef-a4df-bb626f14a81b	5503
06d590b1-5e75-4fee-ba71-7454e9f7fa79	19186
06d9f527-8426-4ce8-aaa2-b3d6f86fe88b	2374
06da3980-9d4d-4cad-9789-c17c5658b976	1040
06da672f-ed5d-433d-9a23-d769ccff2c94	28
06e9031d-c650-4458-a90f-949a43ef02d3	3016
06f2eb1f-9d8d-45dc-b6e6-10ba64052fc4	18485
06f76d5c-46d4-4749-8575-92d266764fd3	995
06ff37d3-ffee-4db9-9c83-0d32a90cb4bb	2695
07000e50-de2b-4862-927e-c25cf2902d7f	13
0718b1f7-10c6-4228-a354-3d9d485a8dde	988
072419e1-8a63-48ab-892d-dc2890512407	3014
07344fa4-2e23-44fa-b4e2-d640e4c32f28	15
073ce33b-1674-43ec-9f8e-d11ccfbfe5a2	3015
073d2b6c-3c53-47db-927b-42718a238515	3016
073dc34b-e107-4f9c-8568-ff7f1b5c3bde	30
07424c09-b0a7-48bb-a20c-72197d0eb0e8	4144
074d88f7-61b4-4d3c-ac4a-602901d572e8	13939
075395b1-2497-4e29-9cd7-e72a934c81a5	30
075665b9-260c-4f1c-9719-f4dbe8c91de4	3018
07617765-1b97-44ad-828d-29dbc8d1595f	13
0762ab3e-699b-456a-994d-ee0c825becbf	4096
0768f918-15a8-48ef-b21d-4b4b04772587	3016
076e4bb4-f34d-4c9f-9ba9-14cf065d50ad	2356
0777bded-7793-4c96-88b5-3d7b5cc15899	18
07781bbc-0bfa-4cc7-8210-116544f7d481	34731
077d0f88-09c7-4ce3-8415-e75b763bc97a	25
07896b85-38d4-4528-9fb7-c62f15d96e30	255
079495be-4197-4367-8f71-bdefa56755d7	3016
07aa2b48-7d51-451b-8af0-0bdf912b1097	10149
07b7e578-521d-4f21-8f3e-5766a371e53b	1000
07ba2953-f19a-4abd-835f-96fef6f775f6	13
07bc561b-f8a8-487d-b157-e0f7e20a41b0	3021
07bfcee0-307d-4a5e-93f2-81ff380c89d6	3016
07c13d79-f765-4f83-b746-46e20d098cdc	15
07cd9f25-14d3-417c-8374-1d23051bb45c	3015
07d01593-62de-4db8-996a-80c34fb75434	3957
07db20d2-84e6-4e0e-a938-087717257c81	3016
07dc230f-6e6d-4328-b89c-e4577c472bb2	3015
07e189cc-72b1-4d15-85c3-e3d3cf8dae1f	1108
07fd55ff-99c4-4ad4-9902-af9ee51c23ba	2279
080e8342-ed4c-494c-9005-721ce54f6664	3016
0818b99d-ebc3-46f6-a881-e128921bcce9	335
081da7df-fa8c-4ef1-b196-1c3dc9d59f17	13
082d5c33-c6bd-49d2-a24c-9a0c6df7b4ee	3015
0832ba5e-ab9c-441b-b6bf-ec471c1a6777	25
083ede0c-d3cb-435f-8979-5b27c776b858	3016
08460dbd-ee38-4bf9-a990-3c73aa03770b	1021
0847d9a9-12fc-4080-a9e2-f25dedcbe892	992
084a2093-1abf-4f06-8483-799a1a6c9ded	1016
084dedd0-58ae-4a17-a371-d27eb9962a70	3016
0851b438-107e-4043-afbc-787fef46c1ac	13
0853f79a-bc18-40fe-9ef3-14f01fec5e20	13121
0865dc7f-7105-47f8-aa80-89e5b0520ff3	3016
0875aad4-4cc0-43dc-8bb9-5265619a3289	3015
0876ccb3-b743-42af-a10c-6b6b214a851f	314
0876da82-5691-41e5-8907-14ccd685d124	2645
0876ec85-5340-4e80-aecc-a60917edcc0d	3015
0876fb6b-c251-48cc-a309-cdbe0f0e85ca	3016
087ca47e-7128-49a8-8cc4-f7d8c8e12941	3028
0881e713-a300-4e4d-baf9-1b07957ccd42	30
088e2a8a-ba61-4da1-adc1-f4bdc09970a4	13
0893d578-628f-4622-9117-95eb64b6f949	1787
08957b8f-ae08-4665-8c71-5c0170a9b5b8	3016
08985de4-755a-4029-be6c-ca2d0e6c9680	13
08a271c7-85ee-4450-9fff-4b33fde55362	10698
08a94dea-8746-4455-a47e-bbb703cea384	3015
08c3a00b-e143-440f-b36f-de3e99f7039c	15
08c473d7-4265-434b-91cf-ea645aa2f7bb	13
08d98891-8fba-48e0-bdc1-1bf0e0f9890a	1038
08dc162e-3df1-462d-ab2f-27e6057c2335	1007
08e0e7b7-6355-44a9-b671-659f8dc04a4f	15
08e1d2a2-cf94-4f95-944b-3b6ef46cccf6	3017
08f88e17-fc3c-48bb-8546-6b01c6df5575	20
08f93363-c4a3-4b31-8168-f91bcff4b6fb	3023
090499c8-9f11-45b6-9771-c5191254ae75	4034
090aebe9-6511-4022-a254-9dac998daa08	981
090d9941-c096-4d7f-bf93-8446bff14dcd	25
09101b57-cf49-403a-8586-9643e3b04545	3016
09179366-c4e3-44d0-b67b-ae8b9ce4e6b8	3016
092128f8-5bf3-4289-b6c8-fdf2db3fe59f	20
094356b8-f8f2-4d98-981a-58c4c1e361da	15
094f4c60-7b3b-4a57-ad92-589d1a48dedd	13
0955fd98-36bf-4a5c-9e45-36ff412fd68c	17
095f9a88-c2c2-475e-bc29-6b42a3d1bb52	5645
096bdcc3-596a-47d1-a9df-4c0b77cad07f	3811
097061e4-c0ec-41d8-ad89-ffbcb27c390d	26
0989b867-30ed-4f14-8bd6-a5024c46201b	4188
098ec8cd-54f7-4cb7-8f6b-83429eb69894	15
09a10335-8276-44a9-9fe1-3aa0fc4ce841	21
09a516f2-6dfd-4d71-9428-4ef35b5ced9d	1070
09a6bbb1-a82c-42bb-8b0f-1466c3ace2d1	30290
09ac4969-2776-4e81-953a-beb4aff356c2	3016
09ad45f3-9b44-42f3-a435-0eee1e10c912	15
09b0cc8f-2545-4399-a161-5ad4f0e0b94e	15
09caef2b-3c7e-4189-b685-101e11a960e4	968
09d168ee-54ca-43c7-b0e3-b37056ff303f	15
09d69c98-15a8-464b-8aee-e4e6b82b4833	14313
09e3cdb7-195c-4782-b172-5f17eb1c4b80	13
09f50627-66b8-460f-82e9-ea5ee3da0c5e	25
09fb2578-a241-4d4b-87aa-b1463976feab	3016
09febf03-1d12-4791-8336-ea776d500307	3017
0a015bfa-9dba-4901-8d5c-ababc99c9488	13
0a0578a6-8c01-45d3-8db6-c2513bcac5d9	18
0a09e0d7-ab9a-4979-9cef-8a5279d7e67c	13605
0a0f9958-5b01-4252-81a6-98da17d3276c	3016
0a0ff662-a9f8-4b25-951a-4bd19f8028e3	3016
0a1c4281-cc23-4d91-bce2-5fd8829a66eb	13
0a256e60-b1ea-4d9c-9f93-c167047d7885	3016
0a25bfca-ddae-4a49-8b61-3b1badfa51bd	19307
0a27b33d-eaf9-4f34-827f-5183f35d6c9e	13
0a2d1bb0-492e-4d3d-a6f9-cdc21aa46e4d	45
0a2fa8dc-7ea2-4760-8d1f-bec627d6e791	15
0a348506-ceaa-4fcc-9601-cbbae3cb86b9	25
0a3f7bfc-e75b-4749-84cd-78736a74bfcf	1185
0a408106-346c-42ef-bcb6-a045732139e6	2283
0a5573b2-1bd9-4b4f-ba0c-dcadbb4fcfbd	13
0a5c43e6-80fe-463d-869a-399400177855	2604
0a5d5124-bd9f-48ff-8b58-f218dd9529eb	15
0a688a8b-5759-46ba-bc21-45b4a23058a7	3015
0a6ebf01-3100-48fe-a517-50223166141d	15
0a775050-403b-4696-a567-e1e0c61ab020	13
0a7b770e-14f8-452f-9d17-7cd9023dc615	2671
0a899185-4c05-4a00-a48a-7321956c27aa	16
0a8b04ec-c90d-4a72-aaf3-8f6b0a741010	6187
0a8d2dfb-581f-425d-a48d-1f849ccd61e4	3014
0a9992f0-50ae-43d5-aacf-d85cb7409714	15
0a9aec22-c8bc-4439-9a92-3c4e447fe388	3018
0aada0c7-4439-4936-b1d5-2783980391a6	15
0aaeba07-5980-4c8d-9ee7-b1c10cb469e2	18
0abdf85d-84f1-4999-abea-dc72a6d69634	1045
0ac4c899-6957-40c8-b184-d62ef606132a	1040
0ac9f557-3aa9-4e9f-a5e4-9634284b12cb	492659
0aca537a-dbb3-47f1-860e-b964b8010369	14447
0acf5ec3-620c-44e1-87b0-9de6466e74a5	223
0ad3b443-7f95-4246-bafb-5f2981867d26	204
0ad42bfc-bd9b-400d-acab-8b6309f305f2	3016
0adda25d-ae66-411e-a8d6-bc3e2691a600	3016
0adf38bd-b652-4feb-8b1e-69d9c164a35b	14214
0aee2a7b-f828-467c-bd16-b0dfb65b4571	924
0afa4f13-f7a1-447d-8b77-e882fc5c4330	15
0b0253d5-db00-4111-952b-942d7be59a9e	3016
0b036e70-d479-4ee4-a7fc-64dcb935c339	20
0b084543-630b-4956-b7f2-911df8a65193	3016
0b085a3a-751e-424b-b2ef-3b8bb7001d4d	15
0b0de31b-f79a-4736-baef-96ba8b3d3544	3016
0b0dff14-1b75-4c8b-93ee-950bf81a667a	3016
0b0e149c-4ead-4d90-be4c-3be2b7cd55bc	13
0b104680-234d-4489-9092-7aebb20d3eaa	21
0b168800-aea5-4001-a23d-0468fc201af1	3016
0b168f03-9afb-44c8-a66c-03009b77c3ef	13
0b1ee141-c274-4e2a-b002-4aadd6f8d5a9	1139
0b21109f-fd24-4678-8f96-1c4aee05d3bc	6758
0b2689d2-bc7a-4520-a735-345b24769bcc	983
0b2745ab-a99a-4a3d-a9a9-f623e3ecd2c2	3016
0b2f2628-a278-4a01-8068-9b19c960834c	14425
0b373e81-6306-41cb-9f7d-ea6306d3ea13	4097
0b39e8cd-3ab5-46f2-bb55-dccc74d5a34d	3016
0b437497-4cfd-4b88-b3bd-502373c1decd	1053
0b576aed-4046-4343-8d84-9baa2789f47f	3016
0b5e655a-c540-45b1-9d31-f1f57d26c8cf	14067
0b6272bc-f98c-464c-99bc-2b63fb4df8e8	3015
0b62bef0-a2d2-4427-847f-e41d698125f3	3015
