JobId,Median of DurationInMin
00abe436-c457-4596-814b-f47bfdca153b,1
00ade5a5-631e-49cd-a7e5-0422dbd7c66f,1
00b6af67-0a03-45ff-81c6-e615534986aa,51
00b6be91-40b7-4be1-aae8-01921c38197f,48
00b81782-cd90-4d90-9a97-7cf1c33f98c7,1
00b9675a-2c58-4e54-b4f1-98cf9bc25a5c,3
00bb0a62-a1c0-45de-942e-1de7b1a68d2d,1
00bb3ac8-38e9-4764-9cd0-2a3c24b19256,3
00bc7eec-68e9-4fa9-a66a-f40d2d5f3e40,3
00be154c-aef4-4c84-b666-70dc2404d2bd,5
00bfaacc-9353-4727-a3d5-77ed01b3d607,2
00c19eb9-a301-4fb2-9294-e1c26270bc0e,44
00c1c0d2-0dee-46ef-aef4-f3b3b4c7da5e,1
00c791c7-af1a-4597-923b-1a9b7518b3fd,51
00cc0508-1727-439c-a13c-aa29f5ff172f,3
00cf5b9b-2898-437a-ab7e-d0477ab06769,1
00d01db8-8875-4236-ae80-68437659c6e0,68
00d58462-b33f-4673-b700-067431799671,1
00d7d566-0d4a-44b7-b141-cf82c1ac6954,51
00d99df4-da22-45f8-ad28-d20b63a86817,44
00db5072-1b64-43f9-a4c1-bcba51aeed50,5
00e14e3b-dd5c-4e67-a811-9a3fe8c2cbc4,1
00e1f03b-fd89-4235-81d3-62f3ffd2e5be,36
00e2f6f3-4475-49c6-b3fc-125f5a4fe481,43
00e761b1-5c08-4385-ad9e-7ff544afde64,5
00e7b256-47d7-4163-a1de-ae7edda7a32e,236
00eb4477-79db-4e22-bf21-7ae4cd80919a,85
00eb4753-020e-461a-861a-bda357321fcb,3
00ebb577-cc4d-4257-acd2-7898e3aaac57,6
00f00902-0b3f-44bd-ad99-bd8c42da3833,2
00f135a8-5bf8-46bc-873a-1cc5b3ac930a,4
00f37fb3-7b45-4cdd-a60a-5e56f15df28f,51
00f59670-0afd-49fd-a2fc-c6551641e3d4,68
00f59f86-90ea-4b81-954f-524eed47a5de,1
00f7035a-3ad8-452d-ac38-77e193355767,1
00fbf6c6-844d-46ca-886d-736c1ea2bddc,3
00fcd536-bf67-4740-a08d-8c0c5388abaf,5
00ff5794-bbb3-4104-9f96-e4cdf4a074a1,1
010893e4-1dec-4cdc-92ba-8e612db08677,51
0108b4ba-360b-48c2-ac29-fea743314543,238
010a0b5f-35ca-4771-a0c7-6de6cbf71963,44
010aed04-4e5d-4f7c-a209-2760da88dd1f,51
010bd1e2-9e0a-44b9-8592-402c4db6c5d9,46
010c2b35-48b8-4e56-b1a8-40c1155ddf02,51
010e7e6b-6f30-47bd-9642-d0557d616af5,32
01113328-ea8a-447b-a433-c74928cf2412,1
01135509-52ec-4cf7-ac4c-23145bd1b1ba,31
0115a5ec-27de-4d65-a203-cfc621b3aef2,68
01169770-65e4-45a2-8c93-cd5d04ac4661,47
0119bfb5-fd2d-4ed4-bbb3-cb471fc423da,5
011a6654-54c2-4610-9f19-143b6fa518e9,1
011c1f3a-ad08-4301-b2b2-e857f4c4d3a4,1
011d3ee9-9daa-4c6a-810c-bfa37133bee6,88
011d5b5f-94fc-451d-aeef-283ba880bcc5,1
011deb8d-d5c0-4584-83d0-b76e1363d524,20
011dfdc2-2161-4633-b28d-44dd40e9235f,69
011ed087-a467-4ea8-ad42-ad65cc1a563b,1
0120291e-5e15-4bd2-955d-2d7a12c2332d,1
0121351d-9cea-4e0d-96f0-228edad3526e,3
0121cc2a-ab07-4dab-800f-3868e8bdeb27,37
0123b791-cae6-4190-9317-f657214884a9,5
012d724f-67e0-4841-bb3c-f756eb354caf,51
012dec0e-cf48-42c0-bcd1-156c080e2de4,51
012e105e-837b-40f9-ae0c-c16c45dd23fc,8
0130bf15-f501-4b44-9a34-3866781e4a69,1
01313b66-793b-491e-abdb-4d1b865e2d47,20
0132ec87-301c-4d43-b4f3-8dd9ebc15e42,7
01335784-f8c8-4b3b-81f9-a47ab8fc8e64,1
013429c0-ba56-4500-ae17-41fa5d4bcfa3,69
0134a8b8-261e-443a-bbc6-e162a85ee1ad,1
0134ba4b-d3ed-4bcc-9de0-713644ec3f11,3
01389faa-6356-4e4b-b3d0-152f48c33c1d,39
0138ef8c-ea35-49a7-9e41-01775318cc4d,51
01395bcd-27d3-4171-9340-cf00cdd03b27,5
0139fd49-b5a6-4767-a8be-b2512e651aac,67
013a1a95-e0a4-4350-8a51-c0930ff5d175,13
013e4620-3e68-4ca1-a6f0-617fcc952914,51
013e529b-5619-45be-8157-324249ad0157,51
013fdf28-a497-4846-9efa-3d41289d9ca4,51
0146446a-0c5c-44ab-8152-08f89c70bcef,1
0146ec10-40cd-4584-9189-629afb04c701,16
0147ed40-f506-4d9b-a042-fdeff6c21ab4,4
014b46bd-33be-498d-a5df-9b4952829771,5
014ecbce-5f68-4db7-8e1a-21947e56902d,1
0151a31b-2419-4e9e-9a79-8d7a1de27d6b,46
015255df-0322-4596-8cad-e86bcf41c465,42
01535d59-cb30-4e9c-b9ac-b411c889f153,3
01561d68-eb90-442e-85a1-38dde87e4770,5
015aa211-8f8c-456d-8046-c7ce93e51314,51
015b5eb4-8ed9-4ed3-a25b-c98179662781,6
015ba6a5-be38-484d-a381-3b945e61e5ad,51
015bda22-645a-4730-9c9e-4bc141e88267,51
015c5c17-6c6b-49be-93dc-6555ba6c5f5b,51
015e735f-5b4d-4fdd-b34a-af9fe5543879,51
015efbf7-1088-4af2-905d-dde161f2f034,8
0162e8b4-be97-4239-936c-edfc1b5c036e,3
01634298-478f-4403-a8d9-5f23172e7adc,3
01666af1-7655-4edf-8415-1b6e0f3e99bb,1
016a20ab-c209-4cca-9f68-8f2fff899f38,8
016a4a0b-f30e-4180-bd93-b52623b0f459,51
016a5cad-bd09-4332-8ec3-956cffe5ad98,38
016df2e6-ffc2-45cc-b717-57484784acf6,51
016e645a-7f51-4f60-a5d8-ba6bcf4a45e8,558
016eedfe-db37-43d6-ab3d-a81c989810d0,39
0171a553-7273-47a3-b7ad-c37566661e5d,17
0174bc02-d5b4-466c-9ea3-09c0025ee144,3
017a7108-1b01-4e08-836e-b1d47b276bdf,4
017b104a-5e1a-49d6-8c48-3b8030e711ba,1
017d000e-3df4-4343-b6e0-56f961911e5b,22
017da880-1bb9-4b0c-a1a2-d4cb8a68ea08,164
017eefe9-9e00-4e13-8f7c-f789c2ed81c5,5
017f03ac-abe1-43fa-a05b-6d09bf920c54,6
0181942f-3b08-449f-a03e-87166fa2867b,2
0187acd4-5fa9-4bae-9d14-fef9a009c778,3
01880701-5090-4f17-931b-13eafc183e89,1
018d9cb9-88a7-4931-8a21-eb1032d247bb,4
018dba5f-2290-4079-aaeb-d0f4e0b5bfe9,1
018eab54-33c9-41cc-ae73-b48f90f4a84f,3
018eb91b-bba7-4a5d-9a05-c9fa3a256ef0,1
0194c13f-1d05-4786-9f60-c7f57965632d,3
019578cf-f3c6-4416-b006-6219ed459142,3
0197604a-6776-49d7-bb52-6e306603cc63,51
0197770b-84ef-4f64-a760-9d24c05671c4,51
019a2996-9549-4d08-b81c-b3011918bf6f,6
019e1495-f5d2-4ef4-89d6-cee99ec01c4e,43
01a01ddc-b924-4779-8324-ea275c006fa0,44
01a0e7ec-bb85-4704-a9b8-734ca3576d10,4
01a17140-6054-4810-aa6a-97e188b9efb8,169
01a46c48-9915-4a50-83ad-3b5f502b7d2c,3
01a4e240-ef93-4177-8f6a-f1c65ee4dfd7,4
01a4ff94-92be-4bb0-b531-56079c9bdfc4,1
01a7cb97-5c29-483e-ae6b-7d11029d256a,44
01aa53c3-392c-44b6-8e43-37e3e2b03e98,4
01aa689b-8c1f-4265-af91-6eed8739efde,51
01aaaa1a-ed34-4e92-a22c-dd88072cf053,16
01ae7d51-641f-4aa1-ad0b-18aca602db1d,8
01afc311-c419-42d8-bf48-c377d2f9f130,51
01afc7a6-17c4-4438-aed7-f8d45228cdbb,29
01b294f0-9163-48d0-b8d3-6388da7ec8a6,45
01ba085a-4c3d-4bd8-bc48-b220302ab55c,51
01bda6d2-64d5-4a6b-84ad-f2c49e08d0fe,1
01bf23d9-95ef-48b9-bdc5-c87b6c14fd7f,1
01c0353c-abf9-4c04-89d3-4d77c926f3d3,3
01c1c60b-52b0-4236-a149-9258b31e22da,1
01c374f0-7541-4117-9cd9-1f072920e328,1
01c553f0-6621-4c66-af56-0906b6fa2428,1
01c5bb5f-841c-4565-8ba9-85f6a5f912fa,51
01c7b97c-14a8-4523-8398-a4c1cc17c5fc,1
01ca2445-4586-4401-8d0d-3b5482aba9c0,47
01cb9f7f-ece0-4070-8c4c-ebfb7908aa51,51
01ce2848-e130-4b3e-a069-59c42207dff7,4
01d06906-4eff-4f2d-a8e7-c5ff38272742,66
01d069a3-38bc-450e-a599-6548b2b42637,4
01d107cf-7245-4c80-bbf4-e7fe4ba132ee,51
01d324f1-e370-4912-a845-1d893761a92b,1
01d74e76-f577-41b0-81b4-7ee8dc22bff4,1
01d83028-65c4-4f8a-9720-f1610ae0910e,18
01db842c-1d65-4721-9670-74d30c4ebf8a,3
01dba167-8128-42c5-b5b4-073e4358107a,91
01dc9429-240f-489e-86f2-308334c86a25,51
01de4c53-d399-4338-b867-b7f806366350,1
01e03dcc-a7d3-4133-aec9-968fefe35a97,1
01e2cc3a-bcf5-4a95-8c8c-ad132060ecee,51
01e470e8-c8bf-405d-8fc2-f5c1816bfaa7,51
01e78b77-b44e-4371-b796-961580ad1b0c,1
01e93267-f2d5-453f-bf25-c6487ad58a06,51
01e97448-9144-495f-97d8-dc15ac12a5b3,67
01e98caa-9344-46c6-9fcd-f1ddd7a7cc57,21
01eb762c-4cd2-4d29-a5c5-418cc24f7f68,1
01ebfa7f-0122-44aa-ada4-ad2e2f87b56c,3
01ec5055-a65e-4069-8c77-5160b20a53e1,1
01f3a3b2-c96d-4190-8c51-c9323565769a,5
01f5b528-916c-4624-89e7-d3be4dbe4eef,6
01f9eacd-ffda-4c81-a0f8-981d43288c47,95
01faecd9-3514-4bae-b057-d2c0bf915f80,3
01fba90c-7225-4450-bf86-4f9459c98d20,3
01fde568-6eee-4730-9a1c-a71a24b8b143,1
01fe7991-cb67-4d5b-bb30-b2a669a0420e,1
01fef430-76c2-45e4-bb0e-f5ef8bf1813a,1
0203feda-a851-4271-9682-80e930e929a2,4
02041390-40e0-4f14-b6cf-8dd2f9569a4f,51
0209b289-e9a6-44d6-ad69-ad3a85c81063,310
020a0f02-b13f-4c17-94f8-2b7783f11c0e,1
020aedca-022c-43ba-9b4c-d9956f07c222,8
020af491-be28-4487-b5fa-4c16b77b4b9d,1
020cd3c7-d923-4517-8f9f-977d97fce2a6,51
020d8e19-51e9-48b8-a1f7-ccf966b875df,2
020e8c1d-11dd-4775-ad60-0c7e4dd31d41,3
02108bd0-d19d-4c61-babe-d1bc780e5502,2
02113092-2628-4cb3-a146-5f048a9358cb,10
0212080b-674d-4756-8aa6-8023b1328464,3
02134300-14ef-4726-9036-b1d20493dc24,6
02138baf-2b5f-45af-b82a-8e611dc832ff,1
02179092-2978-4b0b-8302-2312a986396a,1
0219d35d-705d-4183-8039-f913e25f586a,3
021ad51f-2d1c-4db1-b1c0-9783624ed9bb,1
021af390-01f0-4203-9799-40812982ce76,66
021ca022-53d5-4ad0-be2b-0d576edcd048,1
021ea05e-0deb-4a96-94f2-d0deec69832d,6
021ea151-a847-46d0-a023-618a1bcaf089,1
021eb7a1-b338-4587-88f6-d96659f3588b,42
0221503e-b74d-4b94-b004-b3af72fedf7e,3
0222be5f-25d4-45ad-b7ea-44d0f6b9b628,51
02230c93-e630-472d-90e6-660ef7ad3b61,15
022551fa-3403-4d11-828d-30662675beae,1
02288485-6f53-4857-a324-87589444ba37,42
022a7464-86e5-46bd-805a-c96e37f80781,47
022bee58-1644-44ca-ad46-0307f55101b4,17
022e561e-1968-4429-800b-c1e5fe4eea28,1
0231aa2f-580c-41b4-8c47-8865f33c7804,3
0231c06c-808e-4583-9700-1b31688ea5b7,1
0232bc8e-9b00-458d-9845-2870ac1d0552,1
0232ce69-a183-49b3-838a-932a829a6a62,51
0233187f-c46a-4ca8-8867-9e546b1d60c1,51
023618d7-6e81-4daf-9222-4bca8b82ac0e,51
023675db-053f-473f-b00d-a97a460afb54,51
02376266-47ca-413b-bcce-b76b4a1ef0e4,51
023c80e8-6b87-4b9e-b698-db46d71da135,51
023d9ff7-65ac-4235-8ac9-d92c87ada3b0,51
023f758b-bff7-4fa6-83f3-39f6bf8fa995,51
0240773e-457a-400d-aa81-e17be1c7fec7,1
0240a52b-f63e-4145-b914-c04552573835,44
02418166-e4a6-42da-871c-3284d76679d1,11
0242939b-fddd-4a39-9dcb-91709f32ca86,51
0242bfde-9e71-4bbc-9047-0f21c8ff41ea,16
0242f59c-683e-4569-a12b-ed67522a804d,68
02456226-f52e-44a6-bd1e-9e35fa20eef0,6
0247e50a-ec2a-403a-be17-4ce6d17de0cc,1
